games,date_game,odd_home_team,odd_away_team
DAL-UTA,2015-11-20,"1,75","2,05"
DEN-PHO,2015-11-20,"2,20","1,65"
GSW-CHI,2015-11-20,"1,20","4,50"
LAL-TOR,2015-11-20,"3,40","1,30"
MEM-HOU,2015-11-20,"1,65","2,20"
MIN-DET,2015-11-20,"2,10","1,70"
NOP-SAS,2015-11-20,"3,70","1,27"
OKC-NYK,2015-11-20,"1,35","3,10"
POR-LAC,2015-11-20,"2,30","1,60"
CLE-ATL,2015-11-21,"1,40","2,90"
DET-WAS,2015-11-21,"1,85","1,95"
HOU-NYK,2015-11-21,"1,55","2,40"
IND-MIL,2015-11-21,"1,45","2,70"
MIA-PHI,2015-11-21,"1,05","9,00"
ORL-SAC,2015-11-21,"1,60","2,30"
SAS-MEM,2015-11-21,"1,25","3,80"
BRK-BOS,2015-11-22,"2,90","1,40"
DEN-GSW,2015-11-22,"6,50","1,10"
LAC-TOR,2015-11-22,"1,35","3,10"
LAL-POR,2015-11-22,"2,10","1,70"
NOP-PHO,2015-11-22,"1,85","1,95"
OKC-DAL,2015-11-22,"1,60","2,30"
CHO-SAC,2015-11-23,"1,55","2,40"
CLE-ORL,2015-11-23,"1,20","4,50"
MIA-NYK,2015-11-23,"1,45","2,70"
MIL-DET,2015-11-23,"2,20","1,65"
MIN-PHI,2015-11-23,"1,25","3,80"
SAS-PHO,2015-11-23,"1,13","5,40"
UTA-OKC,2015-11-23,"1,75","2,00"
ATL-BOS,2015-11-24,"1,65","2,20"
DEN-LAC,2015-11-24,"3,40","1,30"
GSW-LAL,2015-11-24,"1,01",11
MEM-DAL,2015-11-24,"1,60","2,30"
POR-CHI,2015-11-24,"2,20","1,65"
WAS-IND,2015-11-24,"1,60","2,30"
BOS-PHI,2015-11-25,"1,10","6,50"
CHO-WAS,2015-11-25,"1,55","2,40"
DET-MIA,2015-11-25,"1,80","2,00"
HOU-MEM,2015-11-25,"1,60","2,30"
LAC-UTA,2015-11-25,"1,45","2,70"
MIL-SAC,2015-11-25,"1,55","2,40"
MIN-ATL,2015-11-25,"2,30","1,60"
OKC-BRK,2015-11-25,"1,08","7,50"
ORL-NYK,2015-11-25,"1,80","2,00"
PHO-NOP,2015-11-25,"1,60","2,30"
SAS-DAL,2015-11-25,"1,15","5,20"
TOR-CLE,2015-11-25,"2,30","1,60"
BOS-WAS,2015-11-27,"1,60","2,30"
CHO-CLE,2015-11-27,"2,55","1,50"
DEN-SAS,2015-11-27,"3,80","1,25"
HOU-PHI,2015-11-27,"1,12","6,00"
IND-CHI,2015-11-27,"1,60","2,30"
LAC-NOP,2015-11-27,"1,35","3,10"
MEM-ATL,2015-11-27,"1,60","2,30"
NYK-MIA,2015-11-27,"2,05","1,75"
OKC-DET,2015-11-27,"1,27","3,70"
ORL-MIL,2015-11-27,"1,55","2,40"
PHO-GSW,2015-11-27,"4,20","1,22"
SAC-MIN,2015-11-27,"1,70","2,10"
CLE-BRK,2015-11-28,"1,17","4,80"
DAL-DEN,2015-11-28,"1,22","4,20"
GSW-SAC,2015-11-28,"1,02",10
POR-LAL,2015-11-28,"1,22","4,20"
SAS-ATL,2015-11-28,"1,25","3,80"
UTA-NOP,2015-11-28,"1,37","3,00"
WAS-TOR,2015-11-28,"2,40","1,55"
BRK-DET,2015-11-29,"2,70","1,45"
CHO-MIL,2015-11-29,"1,32","3,30"
LAC-MIN,2015-11-29,"1,18","4,60"
LAL-IND,2015-11-29,"5,20","1,15"
MEM-PHI,2015-11-29,"1,05","9,00"
NYK-HOU,2015-11-29,"2,40","1,52"
ORL-BOS,2015-11-29,"2,10","1,70"
TOR-PHO,2015-11-29,"1,60","2,30"
ATL-OKC,2015-11-30,"2,20","1,65"
CHI-SAS,2015-11-30,"2,40","1,55"
DET-HOU,2015-11-30,"1,55","2,40"
LAC-POR,2015-11-30,"1,27","3,70"
MIA-BOS,2015-11-30,"1,55","2,40"
MIL-DEN,2015-11-30,"1,55","2,40"
SAC-DAL,2015-11-30,"1,80","2,00"
UTA-GSW,2015-11-30,"3,80","1,25"
BRK-PHO,2015-12-01,"2,40","1,55"
CLE-WAS,2015-12-01,"1,17","4,80"
MIN-ORL,2015-12-01,"1,80","2,00"
NOP-MEM,2015-12-01,"1,90","1,90"
PHI-LAL,2015-12-01,"1,75","1,95"
POR-DAL,2015-12-01,"1,80","2,00"
ATL-TOR,2015-12-02,"1,55","2,40"
CHI-DEN,2015-12-02,"1,15","5,20"
CHO-GSW,2015-12-02,"4,60","1,18"
DET-PHO,2015-12-02,"1,50","2,50"
HOU-NOP,2015-12-02,"1,55","2,40"
LAC-IND,2015-12-02,"2,00","1,75"
NYK-PHI,2015-12-02,"1,20","4,50"
SAS-MIL,2015-12-02,"1,08","7,50"
WAS-LAL,2015-12-02,"1,13","5,70"
MEM-SAS,2015-12-03,"2,20","1,65"
MIA-OKC,2015-12-03,"2,60","1,47"
POR-IND,2015-12-03,"2,10","1,70"
SAC-BOS,2015-12-03,"2,20","1,65"
TOR-DEN,2015-12-03,"1,17","4,80"
UTA-ORL,2015-12-03,"1,50","2,55"
ATL-LAL,2015-12-04,"1,10","6,50"
DAL-HOU,2015-12-04,"1,40","2,90"
DET-MIL,2015-12-04,"1,35","3,10"
NOP-CLE,2015-12-04,"2,70","1,45"
NYK-BRK,2015-12-04,"1,55","2,40"
WAS-PHO,2015-12-04,"2,20","1,65"
CHI-CHO,2015-12-05,"1,40","2,90"
HOU-SAC,2015-12-05,"1,60","2,30"
LAC-ORL,2015-12-05,"1,70","2,10"
MIA-CLE,2015-12-05,"1,50","2,55"
MIL-NYK,2015-12-05,"2,10","1,70"
MIN-POR,2015-12-05,"1,80","2,00"
PHI-DEN,2015-12-05,"2,30","1,60"
SAS-BOS,2015-12-05,"1,18","4,60"
TOR-GSW,2015-12-05,"3,60","1,28"
UTA-IND,2015-12-05,"2,05","1,75"
BRK-GSW,2015-12-06,"6,00","1,12"
DET-LAL,2015-12-06,"1,15","5,20"
MEM-PHO,2015-12-06,"1,40","2,90"
